LAYOUTID,PAYOR,PAYORID,DATATYPE,PUCHCHARFLAG,OPTIONALLY,SKIPROW,TRAILERSKIP,ENTRYDATE,USERLOG,SHORTPAYOR,ACTIVEFLAG,DATEUPDATED,MANUALFLAG,CTLTYPE,LAYOUT_STATUS,VERIFIED,CHARACTERSET,MANUALOVERRIDEREASON,ICD10FLAG,APPROVECOLUMN,DP_CHECKS_INFO,DATADICTIONARYUPLOADED,UPDATEDBY
453,CAREFIRST BLUE CROSS,P0510,CLAIMS,N,N,1,0,17.11.2014 01:29:01,Biplab Pokhrel,CFBC,Y,21.03.2016 07:34:20,N,,FINALIZED,Y,US7ASCII,,Y,,,,Shreeya Baidya
457,CAREFIRST BLUE CROSS,P0510,RXCLAIMS,N,N,1,1,17.11.2014 04:26:35,Biplab Pokhrel,CFBC,Y,20.06.2016 08:25:02,N,,FINALIZED,Y,US7ASCII,,,,,,Narayan DC
458,AON,P4075,ELIGIBILITIES,N,N,0,0,17.11.2014 06:22:52,Aadesh,AON,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
465,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 02:54:09,Gyan K G M,UMRQ,Y,17.12.2014 03:57:29,N,,FINALIZED,Y,US7ASCII,,,,,,
459,HEALTH PLAN,P2615,ELIGIBILITIES,N,N,0,0,17.11.2014 06:40:48,Shekhar Poudel,HEPL,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
466,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 02:56:21,Gyan K G M,UMRQ,Y,17.12.2014 04:01:10,N,,FINALIZED,Y,US7ASCII,,,,,,
468,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 03:06:28,Gyan K G M,UMRQ,Y,17.12.2014 04:02:00,N,,FINALIZED,Y,US7ASCII,,,,,,
469,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 03:09:51,Gyan K G M,UMRQ,Y,17.12.2014 04:02:44,N,,FINALIZED,Y,US7ASCII,,,,,,
470,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 03:17:29,Gyan K G M,UMRQ,Y,17.12.2014 04:03:25,N,,FINALIZED,Y,US7ASCII,,,,,,
471,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 03:19:38,Gyan K G M,UMRQ,Y,17.12.2014 04:04:14,N,,FINALIZED,Y,US7ASCII,,,,,,
49,BCBS IL,P0280,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Renu Thakur,BCIL,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,Y,,,,
50,BCBS IL,P0280,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Renu Thakur,BCIL,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
52,BCBS TN,P0160,CLAIMS,Y,N,0,1,08.09.2014 01:58:25,Renu Thakur,BCTN,Y,09.12.2014 03:02:52,N,,FINALIZED,N,US7ASCII,,Y,,USER_SET_FLMS,,
64,KAISER HEALTH,P0770,RXCLAIMS,N,N,1,0,08.09.2014 01:58:25,Renu Thakur,KSRH,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
65,KAISER HEALTH,P0770,RXCLAIMS,N,N,1,0,08.09.2014 01:58:25,Renu Thakur,KSRH,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
66,KAISER HEALTH,P0770,OTHER,N,N,1,0,08.09.2014 01:58:25,Renu Thakur,KSRH,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
74,MERITAIN,P0845,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Renu Thakur,MRTN,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,N,,,,
75,MERITAIN,P0845,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Renu Thakur,MRTN,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
76,MERITAIN,P0845,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Renu Thakur,MRTN,Y,19.06.2015 05:07:33,N,,FINALIZED,N,US7ASCII,,,,,,
77,EXPRESS SCRIPT (ESI),P1070,RXCLAIMS,N,N,0,1,08.09.2014 01:58:25,Renu Thakur,ESI,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
172,VSP,P4235,CLAIMS,N,N,4,0,08.09.2014 01:58:25,Rabin Panthi,VSP,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
219,CAREFIRST ADMIN,P3015,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,CFAD,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,N,,,,
141,IBC,P0720,CLAIMS,N,N,1,0,08.09.2014 01:58:25,Rabin Panthi,IBC,Y,08.09.2014 01:58:25,Y,,FINALIZED,N,US7ASCII,,N,,USER_SET_FLMS,,
142,IBC,P0720,RXCLAIMS,N,N,1,0,08.09.2014 01:58:25,Rabin Panthi,IBC,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
163,BCBS NE,P0380,RXCLAIMS,N,N,1,1,08.09.2014 01:58:25,Rabin Panthi,BCNE,Y,11.12.2014 05:18:50,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
164,BCBS NE,P0380,CLAIMS,N,N,1,1,08.09.2014 01:58:25,Rabin Panthi,BCNE,Y,11.12.2014 05:18:15,N,,FINALIZED,N,US7ASCII,,Y,,USER_SET_FLMS,,
165,BCBS TN,P0160,RXCLAIMS,N,N,1,0,08.09.2014 01:58:25,Rabin Panthi,BCTN,Y,09.12.2014 03:20:31,N,,FINALIZED,N,US7ASCII,,,,USER_SET_FLMS,,
166,CIGNA HEALTHCARE,P0520,CLAIMS,N,N,1,0,08.09.2014 01:58:25,Rabin Panthi,CGNA,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,N,,USER_SET_FLMS,,
167,UNITED HEALTH CARE (UHC),P0970,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Rabin Panthi,UHC,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
209,BCBS IL,P0280,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Rabin Panthi,BCIL,Y,08.03.2016 07:31:00,N,,FINALIZED,Y,US7ASCII,,Y,,USER_SET_FLMS,,Shreeya Baidya
169,UNITED HEALTH CARE (UHC),P0970,CLAIMS,N,N,3,0,08.09.2014 01:58:25,Rabin Panthi,UHC,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
170,BCBS NC,P0360,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Rabin Panthi,BCNC,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,Y,,USER_SET_FLMS,,
210,LDI,P2590,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Anup Poudyal,LDI,Y,08.09.2014 01:58:25,N,,FINALIZED,Y,US7ASCII,,,,,,
173,MERITAIN,P0845,ELIGIBILITIES,N,Y,1,0,08.09.2014 01:58:25,Anish Gopal Vaidya,MRTN,Y,21.10.2014 07:28:25,N,,FINALIZED,Y,US7ASCII,,,,USER_SET_FLMS,,
220,CAREFIRST ADMIN,P3015,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Biplab Pokhrel,CFAD,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
244,TCH (TAKECARE HEALTH),P0955,CLAIMS,N,N,1,0,08.09.2014 01:58:25,Biplab Pokhrel,TCH,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,N,,,,
221,PROCARE,P3097,RXCLAIMS,Y,N,0,0,08.09.2014 01:58:25,Rashmi Pandey,PROC,Y,08.09.2014 01:58:25,N,,FINALIZED,Y,US7ASCII,,,,,,
243,TCH (TAKECARE HEALTH),P0955,RXCLAIMS,N,N,1,0,08.09.2014 01:58:25,Biplab Pokhrel,TCH,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
1,UNKNOWN,P0000,CONTROL TOTAL,N,Y,2,1,18.11.2014 02:17:54,Renu Thakur,UNKN,Y,20.11.2014 23:51:32,N,,FINALIZED,N,US7ASCII,,,,,,
246,TCH (TAKECARE HEALTH),P0955,CONTROL TOTAL,N,N,1,0,08.09.2014 01:58:25,Biplab Pokhrel,TCH,Y,08.09.2014 01:58:25,N,,WORKING,N,US7ASCII,,,,,,
420,AETNA,P0010,RXCLAIMS,N,N,0,0,04.11.2014 07:16:57,Rashmi Pandey,ATNA,Y,01.12.2014 05:14:14,N,,FINALIZED,Y,US7ASCII,,,,,,
247,HEALTH PARTNER(HP),P2500,CLAIMS,N,Y,1,0,08.09.2014 01:58:25,Anish Gopal Vaidya,HEPT,Y,08.09.2014 01:58:25,N,,FINALIZED,Y,US7ASCII,,Y,,USER_SET_FLMS,,
251,TUFTS HEALTH,P0960,RXCLAIMS,N,N,0,0,08.09.2014 01:58:25,Anish Gopal Vaidya,THLT,Y,12.12.2014 04:18:55,N,,FINALIZED,Y,US7ASCII,,,,,,
250,TUFTS HEALTH,P0960,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Anish Gopal Vaidya,THLT,Y,17.02.2015 03:51:19,N,,FINALIZED,Y,US7ASCII,,,,,,
252,TUFTS HEALTH,P0960,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Anish Gopal Vaidya,THLT,Y,18.08.2015 05:18:49,Y,,FINALIZED,Y,US7ASCII,The dates are coming as YYYMMDD or YYMMDD format and the century part is given separately. They need to be concatenated to derive the dates. ,Y,,,,
253,AETNA,P0010,CLAIMS,N,N,0,0,08.09.2014 01:58:25,Rabin Panthi,ATNA,Y,11.03.2015 05:13:46,N,,FINALIZED,Y,US7ASCII,,Y,,USER_SET_FLMS,,
254,CAREHERE,P4245,CLAIMS,N,N,1,0,08.09.2014 01:58:25,Rashmi Pandey,CHRE,Y,18.03.2015 06:09:03,N,,FINALIZED,Y,US7ASCII,,N,,,,
473,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 03:24:38,Gyan K G M,UMRQ,Y,17.12.2014 04:10:05,N,,FINALIZED,Y,US7ASCII,,,,,,
275,ALLEGIANCE HEALTH,P0040,CROSSWALK,N,Y,0,0,15.09.2014 04:00:22,Shailee Gorkhali,ALEH,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
265,UNITED HEALTH CARE (UHC),P0970,CLAIMS,N,N,0,1,08.09.2014 01:58:25,Rabin Panthi,UHC,Y,01.12.2014 00:07:28,N,,FINALIZED,N,US7ASCII,,Y,,USER_SET_FLMS,,
277,ALLEGIANCE HEALTH,P0040,CROSSWALK,N,N,0,0,18.09.2014 05:20:00,Shailee Gorkhali,ALEH,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
472,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 03:22:05,Gyan K G M,UMRQ,Y,17.12.2014 04:05:01,N,,FINALIZED,Y,US7ASCII,,,,,,
422,EXPRESS SCRIPT (ESI),P1070,RXCLAIMS,Y,N,0,0,04.11.2014 09:15:51,Anish Gopal Vaidya,ESI,Y,,N,,FINALIZED,Y,US7ASCII,,,,,,
474,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 03:26:34,Gyan K G M,UMRQ,Y,17.12.2014 04:09:01,N,,FINALIZED,Y,US7ASCII,,,,,,
475,HEALTH PLAN,P2615,RXCLAIMS,N,N,0,0,18.11.2014 05:47:16,Shekhar Poudel,HEPL,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
476,CIGNA HEALTHCARE,P0520,CONTROL TOTAL,N,N,0,0,18.11.2014 05:54:45,Aadesh,CGNA,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
477,UNKNOWN,P0000,ELIGIBILITIES,N,N,0,0,18.11.2014 06:32:49,Aadesh,UNKN,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
478,UNKNOWN,P0000,CLAIMS,N,N,0,0,18.11.2014 06:43:06,Aadesh,UNKN,Y,,N,,FINALIZED,N,US7ASCII,,N,,,,
497,UNKNOWN,P0000,RXCLAIMS,N,N,0,0,19.11.2014 23:59:40,Aadesh,UNKN,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
480,UMRQICLINK,P2310,OTHER,N,N,0,0,18.11.2014 06:57:34,Gyan K G M,UMRQ,Y,17.12.2014 04:08:16,N,,FINALIZED,Y,US7ASCII,,,,,,
481,CIGNA HEALTHCARE,P0520,PROGRAM MANAGEMENT,N,N,0,0,18.11.2014 07:30:07,Aadesh,CGNA,Y,30.10.2015 07:48:20,N,,FINALIZED,Y,US7ASCII,,,,USER_SET_FLMS,,
482,HEALTH PLAN,P2615,CLAIMS,N,N,0,0,18.11.2014 23:25:28,Shekhar Poudel,HEPL,Y,,N,,FINALIZED,N,US7ASCII,,N,,,,
486,SEDGWICK,P3050,DISABILITY,N,N,0,0,19.11.2014 02:27:39,Aadesh,SDWK,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
484,HEALTH PLAN,P2615,PROVIDER,N,N,0,0,19.11.2014 00:10:33,Shekhar Poudel,HEPL,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
485,HEALTH PLAN,P2615,HRA,N,N,0,0,19.11.2014 00:47:20,Shekhar Poudel,HEPL,Y,19.11.2014 00:54:56,N,,FINALIZED,N,US7ASCII,,,,,,
487,SEDGWICK,P3050,DISABILITY,N,N,0,0,19.11.2014 03:15:37,Aadesh,SDWK,Y,29.01.2016 06:44:43,N,,FINALIZED,Y,US7ASCII,,,,,,
488,AETNA,P0010,CONTROL TOTAL,N,N,1,0,19.11.2014 03:30:57,Ujen Bajracharya,ATNA,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
496,UNKNOWN,P0000,OTHER,N,N,0,0,19.11.2014 23:42:53,Aadesh,UNKN,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
491,HARVARD PILGRIM HEALTH CARE,P0650,CROSSWALK,N,N,0,0,19.11.2014 04:41:39,Aadesh,HPHC,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
492,DAVIS VISION,P4350,OTHER,N,N,0,0,19.11.2014 05:20:14,Rashmi Pandey,DVIS,Y,19.03.2015 04:22:06,N,,FINALIZED,Y,US7ASCII,,,,,,
493,UMRQICLINK,P2310,OTHER,N,N,0,0,19.11.2014 07:35:23,Gyan K G M,UMRQ,Y,17.12.2014 04:07:46,N,,FINALIZED,Y,US7ASCII,,,,,,
494,GILSBAR,P2200,RXCLAIMS,N,Y,1,0,19.11.2014 23:14:22,Rashmi Pandey,GBAR,Y,23.02.2015 07:39:57,N,,FINALIZED,Y,US7ASCII,,,,,,
498,BCBS AL,P0180,PROVIDER,N,N,0,0,20.11.2014 04:02:51,Dinesh Khadka,BCAL,Y,03.11.2015 01:44:48,N,,FINALIZED,Y,US7ASCII,,,,,,
499,ASCENDANT HEALTHCARE,P2755,ELIGIBILITIES,N,N,0,0,20.11.2014 04:56:26,Binesh sah,ASHL,Y,,N,,FINALIZED,N,US7ASCII,,,,,,
501,VERISK,P2940,PROVIDER,N,N,1,0,21.11.2014 01:00:04,Ayam Pokhrel,VRSK,Y,06.01.2016 07:54:37,N,,FINALIZED,Y,US7ASCII,,,,,,
502,VERISK,P2940,CONTROL TOTAL,N,N,1,0,21.11.2014 01:20:17,Ayam Pokhrel,VRSK,Y,,N,,WORKING,N,US7ASCII,,,,,,
176,MEDICA,P0820,CLAIMS,N,N,1,0,08.09.2014 01:58:25,Anish Gopal Vaidya,MDCA,Y,14.08.2015 07:38:44,N,,FINALIZED,Y,US7ASCII,,,,USER_SET_FLMS,,
177,MEDICA,P0820,ELIGIBILITIES,N,N,0,0,08.09.2014 01:58:25,Rashmi Pandey,MDCA,Y,13.11.2017 00:07:08,N,,FINALIZED,Y,US7ASCII,,,,,,Diya Rimal
46,HIGHMARK BLUE CROSS,P0660,CLAIMS,N,N,0,1,08.09.2014 01:58:25,Renu Thakur,HMRK,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,N,,,,
178,MEDICA,P0820,RXCLAIMS,N,N,1,0,08.09.2014 01:58:25,Rashmi Pandey,MDCA,Y,20.08.2015 22:29:26,N,,FINALIZED,Y,US7ASCII,,,,,,
12,"CHS (COMPREHENSIVE HEALTH SERVICES, INC)",P0535,HRA,N,N,1,,08.09.2014 01:58:25,Renu Thakur,CHS,Y,08.09.2014 01:58:25,N,,FINALIZED,N,US7ASCII,,,,,,
